page,list_index,room_id,name,address,visibility,weekly_price,rent_weekly,rent_weekly_number,deposit,deposit_number,maintenance_weekly,maintenance_weekly_number,maintenance_included,maintenance_description,cleaning_fee,cleaning_fee_number,long_term_discount_raw,immediate_move_in_discount_raw,refund_policy
2,0,100422,길동역 성심병원 D7,서울특별시 강동구 길동 415-16 청광플러스원큐브3차 14층 1416,공개,"420,000원","420,000",420000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 5주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",약한
2,1,99694,"가산, 독산 원룸 L1",서울특별시 금천구 가산동 143-6 3층 328호,공개,"200,000원","200,000",200000,"330,000원",330000,"60,000",60000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"70,000",70000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,2,99692,2룸2화1다이닝_M2,인천광역시 계양구 작전동 392-1 계양 우림카이저팰리스 3층 203동 308호,공개,"330,000원","330,000",330000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,3,99690,올림픽 공원 성내 G3,서울특별시 강동구 성내동 548-4 에스아이팰리스 센트럴성내 6층 602호,공개,"280,000원","280,000",280000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,4,96146,V12 대치동 학원가,서울특별시 강남구 대치동 916-38 1층 102,공개,"550,000원","550,000",550000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 4주 이상 계약 시 10% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 5일 이내 입주 시 3만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 5일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
2,5,96144,V11 대치 학원투룸,서울특별시 강남구 대치동 916-38 1층 101호,공개,"750,000원","750,000",750000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
2,6,94502,V13 대치동 아늑방,서울특별시 강남구 대치동 916-38 1층 103호,공개,"450,000원","450,000",450000,"330,000원",330000,"90,000",90000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
2,7,92286,계양 2룸 풀옵션,인천광역시 계양구 작전동 386-15 벧엘하이츠빌라 2층 202호,공개,"100,000원","100,000",100000,"330,000원",330000,"120,000",120000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비가 청구됩니다,"120,000",120000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,8,92284,작전동 3룸2화,인천광역시 계양구 작전동 392-1 계양 우림카이저팰리스 12층 101동 1204호,공개,"380,000원","380,000",380000,"330,000원",330000,"50,000",50000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"50,000",50000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,9,91762,강동역 1.5룸 B46,서울특별시 강동구 천호동 560-2 더하임 4층 406,공개,"380,000원","380,000",380000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
