page,name,address,visibility,weekly_price,weekly_price_number
6,강동역 길동 D8,서울특별시 강동구 길동 456-3 강동 큐브 16층 1604,공개,"280,000원",280000
6,길동역 원룸 C4,서울특별시 강동구 길동 387-5 길동청광플러스원큐브1차 7층 709호,공개,"240,000원",240000
6,초특가!!강동역 B35,서울특별시 강동구 천호동 560-2 더하임 8층 305,공개,"280,000원",280000
6,길동강동 J2,서울특별시 강동구 길동 386-8 6층 은성 603호,공개,"200,000원",200000
7,강동역 1.5룸 B34,서울특별시 강동구 천호동 560-2 더하임 3층 304호,공개,"280,000원",280000
7,강동역 1.5룸 B24,서울특별시 강동구 천호동 560-2 더하임 2층 204호,공개,"280,000원",280000
7,송파 오금 H12,서울특별시 송파구 오금동 133-13 스타팰리스 1층 102,공개,"240,000원",240000
7,송파 오금 H25,서울특별시 송파구 오금동 133-13 스타팰리스 2층 205,공개,"280,000원",280000
7,미사역 원룸 I2,경기도 하남시 망월동 1147-2 힐스테이트에코미사강변 8층 804,공개,"280,000원",280000
7,미사 이번주 특가 I3,경기도 하남시 망월동 1148 하남미사 롯데캐슬 헤븐시티 Ⅱ 9층 960,공개,"360,000원",360000
7,길동역 원룸 C5,서울특별시 강동구 길동 387-5 길동청광플러스원큐브1차 9층 910호,공개,"200,000원",200000
7,길동역 복층 E5,서울특별시 강동구 길동 413-24 12층 동구햇살 1203,공개,"360,000원",360000
7,비공개 11,서울특별시 중랑구 중화동 293-5 세종에코그린 3층 304,비공개,"280,000원",280000
7,길동 성심병원 D4,서울특별시 강동구 길동 415-16 청광플러스원큐브3차 8층 806호,공개,"280,000원",280000
8,올림픽공원 G1,서울특별시 강동구 성내동 548-4 에스아이팰리스 센트럴성내 2층 2,공개,"380,000원",380000
8,길동 성심병원 D6,서울특별시 강동구 길동 415-16 청광플러스원큐브3차 13층 1315호,비공개,"280,000원",280000
8,길동역 원룸 C2,서울특별시 강동구 길동 387-5 길동청광플러스원큐브1차 6층 608호,비공개,"200,000원",200000
8,길동역 원룸 C3,서울특별시 강동구 길동 387-5 길동청광플러스원큐브1차 6층 609호,비공개,"130,000원",130000
8,길동역 원룸 C1,서울특별시 강동구 길동 387-5 길동청광플러스원큐브1차 2층 207호,비공개,"130,000원",130000
8,초특가 오금 H21,서울특별시 송파구 오금동 133-13 스타팰리스 2층 201,공개,"230,000원",230000
8,송파 오금 H23,서울특별시 송파구 오금동 133-13 스타팰리스 2층 203,공개,"200,000원",200000
8,울산시청 N1,울산광역시 남구 신정동 643-1 3층 307호,공개,"280,000원",280000
8,길동역세권 C7,서울특별시 강동구 길동 388-7 다성이즈빌 5층 506호,공개,"350,000원",350000
8,길동 1.5룸 T51,서울특별시 강동구 길동 386-4 에스아이팰리스 강동센텀2 5층 501,공개,"400,000원",400000
9,동대문2룸 K1,서울특별시 동대문구 장안동 344-5 선일크라시아 1층 101호,공개,"420,000원",420000
9,노원 방학 k5,서울특별시 도봉구 방학동 711-1 7층 101동 709호,공개,"280,000원",280000
9,강동역 원룸 A44,서울특별시 강동구 천호동 167-157 예건네스빌 4층 404호,공개,"250,000원",250000
9,강동역 원룸 A24,서울특별시 강동구 천호동 167-157 예건네스빌 2층 204호,공개,"280,000원",280000
9,신정동. 2룸 N3,울산광역시 남구 신정동 1323-50 수아지오 시티 10층 1007호,공개,"320,000원",320000
9,울산 신정 N2,울산광역시 남구 신정동 643-1 3층 315호,공개,"280,000원",280000
9,강동역 원룸 A25,서울특별시 강동구 천호동 167-157 예건네스빌 2층 205호,공개,"280,000원",280000
9,강동역 원룸 A72,서울특별시 강동구 천호동 167-157 예건네스빌 7층 702호,공개,"250,000원",250000
9,비공개 1,서울특별시 강동구 둔촌동 425-15 오앤하우스 9층 904호,비공개,"190,000원",190000
9,강동역도보5분 A82,서울특별시 강동구 천호동 167-157 예건네스빌 8층 802호,공개,"250,000원",250000
10,강동역 2룸 A33,서울특별시 강동구 천호동 167-157 예건네스빌 3층 303호,공개,"500,000원",500000
10,둔촌 2룸 F3,서울특별시 강동구 둔촌동 61-8 태상아트빌아파트 5층 501호,공개,"350,000원",350000
